New Zealand,06/02,"Waitangi Day, signing of the Treaty of Waitangi in 1840"
Nicaragua,15/09,Independence from the Kingdom of Spain in 1821
Niger,18/12,"Republic Day, made an autonomous state within the French Community in 1958"
Nigeria,01/10,Independence from the United Kingdom in 1960
Niue,19/10,Self-government in free association with New Zealand in 1974
Norfolk Island (Australia),08/06,Beginning of permanent settlement of the island by migrants from the Pitcairn Islands in 1856
North Korea,15/08,Liberation from Japanese rule in 1945 (Gwangbokjeol); declaration of the Republic in 1948
North Korea,09/09,Day of the Foundation of the Republic in 1948
North Korea,10/10,Party Foundation Day in 1945
North Macedonia,02/08,"Republic Day, proclamation of statehood in 1944 and proclamation of Kruševo Republic in 1903 during the Ilinden Uprising"
North Macedonia,08/09,"Independence Day (Den na nezavisnosta), declaration of independence from Yugoslavia in 1991"
Northern Ireland (United Kingdom),17/03,St. Patrick's Day; a public holiday sometimes associated with Irish nationalism
Northern Ireland (United Kingdom),12/07,"""The Twelfth"" commemorates the Battle of the Boyne in 1690; a public holiday associated with Ulster unionism"
Northern Mariana Islands (United States),08/01,"Commonwealth Day, the constitutional government takes office in 1978"
Norway,17/05,"Constitution Day, the signing of the Norwegian Constitution in Eidsvoll 1814"
Oman,18/11,"National Day of Oman, independence from Portugal in 1650 and the 1940 birthday of Sultan Qaboos bin Said al Said who reigned 1970–2020"
Pakistan,23/03,"Pakistan Day, the Pakistan Resolution passed in Lahore in 1940"
Pakistan,14/08,"Independence Day, independence from the British Empire in 1947"
Palau,09/07,"Constitution Day, adoption of the Constitution in 1980"
Panama,03/11,"Separation Day, independence from Colombia in 1903"
Papua New Guinea,16/09,Independence from Australia in 1975
Paraguay,14/05,"Independence Day (Día de Independencia), declaration of independence from Spain in 1811"
Peru,28/07,Declaration of independence from Spain in 1821
Philippines,12/06,"Araw ng Kalayaan, declaration of independence from Spain in 1898"
Poland,03/05,"3 May Constitution Day, celebrates the declaration of the Constitution of 3 May 1791, first constitution of its kind in Europe"
Poland,11/11,"Święto Niepodległości (Independence Day), restoration of independence from Austria-Hungary, Germany, and Russia in 1918"
Portugal,10/06,"Portugal Day, officially the Day of Portugal, Camões, and the Portuguese Communities, death of national poet Luís de Camões in 1580"
Puerto Rico (United States),25/07,"Constitution Day, establishment of Commonwealth of Puerto Rico in 1952; formerly Invasion Day, day of the American invasion in 1898"
Qatar,18/12,"Qatar National Day, the assumption of power by Emir Jassim bin Mohammed Al Thani in 1878"
Québec (Canada),24/06,"Saint-Jean-Baptiste Day, feast day of John the Baptist, the patron saint of French Canadians"
Rio Grande do Sul (Brazil),20/09,"Expulsion of the Brazilian Army from Porto Alegre at the Farroupilha Revolution, followed by a Declaration of Independence on 1836."
Romania,01/12,"Great Union Day, unification with Transylvania and achievement of the Great Union in 1918"
Russia,12/06,"Russia Day, Declaration of State Sovereignty in 1990"
Rwanda,01/07,Independence from Belgium in 1962
Réunion (France),20/12,Abolition of slavery day
Saba (Kingdom of the Netherlands),04/12,"Saba Day celebrates, on the first Friday in December, the adoption of the flag of Saba in December 1985"
Sabah (Malaysia),31/08,"North Borneo Self-government Day, was celebrated once on 1963 to commemorate Sabah's independence from United Kingdom before joining Malaysia along with Sarawak and Singapore on 16 September 1963. Set to be celebrated again by 2022."
Saint Kitts and Nevis,19/09,Independence from the United Kingdom in 1983
Saint Lucia,22/02,"Independence Day, independence from the United Kingdom in 1979"
Saint Vincent and the Grenadines,27/10,"Independence Day, independence from the United Kingdom in 1979"
Samoa,01/06,"Independence Day, independence from New Zealand in 1962"
San Marino,03/09,Foundation of the city by Marinus in year 301 (traditional date); also is the St. Marinus Day.
Sardinia (Italy),28/04,"Sardinian revolution and expulsion of Piedmontese Viceroy and Sardinian-Piedmontese officials from Cagliari, capital and largest city of Sardinia"
São Paulo (Brazil),09/07,Constitutionalist Revolt against Vargas Regime in 1932
Sarawak (Malaysia),22/07,"Sarawak Independence Day, independence from United Kingdom before joining Malaysia along with Sabah and Singapore on 16 September."
Sark (British Islands),09/05,"Liberation Day, the end of the German occupation of the Channel Islands in 1945"
Saudi Arabia,23/09,"Saudi National Day, renaming of the Kingdom of Nejd and Hejaz to the Kingdom of Saudi Arabia in 1932"
Scotland (United Kingdom),30/11,"Day of St. Andrew, patron saint of Scotland"
Senegal,04/04,Independence from France in 1960
Serbia,15/02,"Statehood Day, start of the Serbian Revolution against Ottoman Empire in 1804; adoption of the first Constitution in 1835"
Seychelles,18/06,"National Day, adoption of a multi-party democratic constitution in 1993"
Sierra Leone,27/04,"Republic Day, independence from the United Kingdom in 1961"
Singapore,09/08,"National Day, independence from Malaysia in 1965"
Sint Maarten (Kingdom of the Netherlands),11/11,Sint Maarten's Day
Slovakia,01/01,"Day of the Establishment of the Slovak Republic, this day commemorates when Czechoslovakia split into the Czech Republic and Slovakia in 1993"
Slovenia,25/06,"Statehood Day, declaration of independence from Yugoslavia in 1991"
Solomon Islands,07/07,"Independence Day, independence from the United Kingdom in 1978"
Somalia,01/07,Independence from Italy and unification with Somaliland in 1960
Somaliland (Disputed),18/05,Declaration of independence from Somalia in 1991
Somaliland (Disputed),26/06,Independence of the State of Somaliland from the United Kingdom in 1960
South Africa,27/04,"Freedom Day, first democratic general election in 1994"
South Korea,01/03,Declaration of independence from the Empire of Japan in 1919
South Korea,15/08,Liberation from Japanese rule in 1945 (Gwangbokjeol); declaration of the Republic in 1948
South Korea,03/10,"Gaecheonjeol, ancient Korea founded in 2333 BC"
South Sudan,09/07,"Independence Day, independence from Sudan in 2011"
South Vietnam,26/10,1955 South Vietnam referencedum created First Republic of Vietnam replace for State of Vietnam
Spain,12/10,"Fiesta Nacional de España, Columbus discovery of America in 1492"
Sri Lanka,04/02,"Independence Day, independence from the United Kingdom in 1948 under the name of Ceylon"
Republika Srpska (Bosnia and Herzegovina),09/01,"Proclamation of the Republic, separate from Bosnia and Herzegovina and part of Yugoslavia, in 1992"
Sudan,01/01,Independence from the United Kingdom and the Republic of Egypt in 1956
Suriname,25/11,"Independence Day, independence from the Netherlands in 1975"
Sweden,06/06,National Day: election of Gustav Vasa as King of Sweden in 1523; adoption of the constitutions of 1809 and 1974
Switzerland,01/08,"National Day, alliance between Uri, Schwyz and Unterwalden against the Holy Roman Empire in 1291"
Syria,17/04,"Evacuation Day, end of French colonial rule in 1946"
São Tomé and Príncipe,12/07,Independence from Portugal in 1975
Tajikistan,09/09,"Independence Day, declaration of independence from the Soviet Union in 1991"
Tanzania,09/12,"Independence Day, independence from British rule in 1961"
Thailand,05/12,Birthday of Late King Bhumibol Adulyadej in 1927
Togo,27/04,Independence from the French-administered UN trusteeship in 1960
Tonga,04/06,Emancipation Day abolition of serfdom 1862; independence from the United Kingdom in 1970
Tonga,04/11,National Day [formerly Constitution Day] 1875
Transnistria,02/09,"Independence Day, declaration of independence from Moldova in 1990"
Trinidad and Tobago,31/08,"Independence Day, independence from the United Kingdom in 1962"
Tunisia,20/03,Declaration of independence from France in 1956
Turkey,29/10,"Republic Day (Cumhuriyet Bayramı), adoption of a republican constitution in 1923"
Turkmenistan,27/09,"Independence Day, declaration of independence from the Soviet Union in 1991"
Turks and Caicos Islands (United Kingdom),30/08,"Constitution Day, adoption of a constitution in 1976"
Tuvalu,01/10,"Independence Day, independence from the Gilbert Islands (Kiribati) in 1975 and from the United Kingdom in 1978"
Uganda,09/10,Independence from the United Kingdom in 1962
Ukraine,24/08,Independence from the Soviet Union in 1991. See Independence Day of Ukraine
United Arab Emirates,02/12,"National Day, formation of the federation of seven emirates on independence from the United Kingdom in 1971"
United States,04/07,"Independence Day, first 13 States declare independence from the Kingdom of Great Britain (1776)."
United States Virgin Islands (United States),31/03,"Transfer Day, transfer of the islands from Denmark to the United States in 1917"
Uruguay,25/08,Declaration of Independence from Brazil in 1825
Uzbekistan,01/09,"Independence Day, declaration of independence from the Soviet Union in 1991"
Vanuatu,30/07,"Independence Day, independence from the United Kingdom and France in 1980"
Vatican City,11/02,"Foundation of Vatican City, signing of the Lateran Treaty in 1929"
Venezuela,05/07,"Independence Day, declaration of independence from Spain in 1811"
Vietnam,02/09,"National Day, declaration of independence from France and Japan in 1945"
Wales (United Kingdom),01/03,"St. David's Day, feast day of patron saint of Wales"
Yemen,22/05,"Unity Day, North and South Yemen are unified as the Republic of Yemen in 1990"
Zambia,24/10,"Independence Day, declaration of independence from the United Kingdom in 1964"
Zimbabwe,18/04,Granting of independence by the United Kingdom in 1980; it had previously declared independence as Rhodesia on 11 November 1965
